barn
armr
sandar
galdr
garð
maðr
ǫrmum
galdr
maðr
2021-02-19 20:06:27.402679         maðr
2021-02-19 20:06:31.652676         sandar
2021-02-19 20:07:46.808715    |    maðr
2021-02-19 20:07:51.727701    |    þorn
2021-02-19 20:25:46.584434    |    gestr
2021-02-19 20:27:52.504949    |    gesta-skáli
2021-02-20 18:50:25.643003    |    1234
2021-02-20 18:51:16.878964    |    ok
2021-02-20 19:52:05.962684    |    barn
2021-02-20 19:52:35.937696    |    barn
2021-02-20 19:52:50.507814    |    barn
2021-02-20 20:00:10.567108    |    barn
2021-02-20 20:00:16.864808    |    galdr
2021-02-20 20:02:18.828509    |    хуй
2021-02-20 20:28:28.644438    |    maðr
2021-02-20 20:28:37.828284    |    armr
2021-02-20 20:28:44.288173    |    fuck
2021-02-20 20:28:57.012345    |    1234
2021-02-20 20:29:38.411543    |    galdr
2021-02-20 20:40:32.194212    |    maðr
2021-02-20 20:40:36.711071    |    garð
2021-02-20 20:40:46.070211    |    galdr
2021-02-20 20:40:49.285414    |    armr
2021-02-20 20:40:51.922192    |    barn
2021-02-20 20:40:54.253845    |    sandar
2021-02-20 20:41:01.924795    |    barn
2021-02-20 20:42:32.720749    |    kukareku
2021-02-20 20:44:12.448803    |    garðr
2021-02-20 20:45:01.364299    |    ormr
2021-02-20 20:45:24.071267    |    bók
2021-02-20 20:46:22.056879    |    gestr
2021-02-20 20:51:35.707154    |    barn
2021-02-20 20:52:06.203531    |    barn
2021-02-20 20:53:43.648316    |    barn
2021-02-20 20:56:59.396942    |    barn
2021-02-20 20:57:42.823216    |    barn
2021-02-20 20:59:50.481833    |    gestr
2021-02-20 21:00:01.096002    |    sandar
2021-02-20 21:00:12.779525    |    armr
2021-02-20 21:00:22.530109    |    áss
2021-02-20 21:00:38.294830    |    leita
2021-02-20 21:01:30.590553    |    barn
2021-02-20 21:02:20.789054    |    leita
2021-02-20 21:02:58.956605    |    áss
2021-02-20 21:07:31.882096    |    biðja
2021-02-20 21:55:18.580370    |    barn
2021-02-20 21:59:19.572702    |    áss
2021-02-20 22:02:48.524615    |    voluspa
2021-02-20 22:03:23.488401    |    hvat
2021-02-20 22:03:46.093103    |    brá
2021-02-20 22:04:38.415235    |    heill
2021-02-20 22:05:25.094243    |    heill
2021-02-20 22:07:06.842655    |    hvi
2021-02-20 22:08:44.835358    |    lengi
2021-02-20 22:10:12.984051    |    gestr
2021-02-20 22:10:23.761220    |    sandar
2021-02-20 22:15:55.206075    |    barn
2021-02-20 22:16:02.888517    |    maðr
2021-02-20 22:16:51.004475    |    lengi
2021-02-20 22:17:32.614887    |    lengi
2021-02-20 22:25:03.345902    |    gestr
2021-02-20 22:26:19.331361    |    lengi
2021-02-20 22:29:44.627548    |    dagr
